"region","upplåtelseform","år","Antal"
"0380B5011","hyresrätt","2024",129
"0380B5011","bostadsrätt","2024",84
"0380B5011","äganderätt","2024",336
"0380B5011","uppgift saknas","2024",0
"0380B5012","hyresrätt","2024",83
"0380B5012","bostadsrätt","2024",44
"0380B5012","äganderätt","2024",455
"0380B5012","uppgift saknas","2024",0
"0380B6011","hyresrätt","2024",47
"0380B6011","bostadsrätt","2024",55
"0380B6011","äganderätt","2024",185
"0380B6011","uppgift saknas","2024",0
"0380B6012","hyresrätt","2024",11
"0380B6012","bostadsrätt","2024",26
"0380B6012","äganderätt","2024",204
"0380B6012","uppgift saknas","2024",0
"0380B7010","hyresrätt","2024",113
"0380B7010","bostadsrätt","2024",6
"0380B7010","äganderätt","2024",461
"0380B7010","uppgift saknas","2024",0
"0380B8010","hyresrätt","2024",133
"0380B8010","bostadsrätt","2024",71
"0380B8010","äganderätt","2024",343
"0380B8010","uppgift saknas","2024",0
"0380C1010","hyresrätt","2024",7
"0380C1010","bostadsrätt","2024",0
"0380C1010","äganderätt","2024",347
"0380C1010","uppgift saknas","2024",0
"0380C1020","hyresrätt","2024",41
"0380C1020","bostadsrätt","2024",29
"0380C1020","äganderätt","2024",458
"0380C1020","uppgift saknas","2024",0
"0380C1030","hyresrätt","2024",60
"0380C1030","bostadsrätt","2024",0
"0380C1030","äganderätt","2024",481
"0380C1030","uppgift saknas","2024",0
"0380C1040","hyresrätt","2024",30
"0380C1040","bostadsrätt","2024",88
"0380C1040","äganderätt","2024",454
"0380C1040","uppgift saknas","2024",0
"0380C1050","hyresrätt","2024",36
"0380C1050","bostadsrätt","2024",218
"0380C1050","äganderätt","2024",472
"0380C1050","uppgift saknas","2024",0
"0380C1060","hyresrätt","2024",238
"0380C1060","bostadsrätt","2024",33
"0380C1060","äganderätt","2024",322
"0380C1060","uppgift saknas","2024",0
"0380C1070","hyresrätt","2024",571
"0380C1070","bostadsrätt","2024",81
"0380C1070","äganderätt","2024",0
